iter	Passed	Remaining
0	15	4624
1	18	2815
2	21	2176
3	24	1831
4	27	1626
5	30	1485
6	33	1389
7	35	1313
8	38	1257
9	41	1211
10	44	1175
11	47	1141
12	50	1111
13	53	1085
14	55	1062
15	58	1040
16	61	1020
17	64	1003
18	67	993
19	70	990
20	73	978
21	76	965
22	79	954
23	82	943
24	85	935
25	87	926
26	90	917
27	93	908
28	96	898
29	98	888
30	101	880
31	104	874
32	107	867
33	110	860
34	112	852
35	115	845
36	118	842
37	121	835
38	123	829
39	126	823
40	129	816
41	131	810
42	134	806
43	138	803
44	140	798
45	143	792
46	146	787
47	149	782
48	151	777
49	154	772
50	157	769
51	160	763
52	162	759
53	165	755
54	168	750
55	171	747
56	174	742
57	177	739
58	179	734
59	182	731
60	185	726
61	188	722
62	191	718
63	193	714
64	196	710
65	199	706
66	202	702
67	204	699
68	207	694
69	210	690
70	212	686
71	215	682
72	218	678
73	220	674
74	223	670
75	226	666
76	228	662
77	232	661
78	235	657
79	237	654
80	240	650
81	243	646
82	246	643
83	248	639
84	251	636
85	254	632
86	256	629
87	259	625
88	262	621
89	265	618
90	267	614
91	270	611
92	273	607
93	275	604
94	278	601
95	281	597
96	284	594
97	286	591
98	289	588
99	292	584
100	295	581
101	297	578
102	300	574
103	303	571
104	305	568
105	308	564
106	311	561
107	314	558
108	316	555
109	319	552
110	322	548
111	325	545
112	327	542
113	330	539
114	333	536
115	336	533
116	339	530
117	341	527
118	344	524
119	347	521
120	350	518
121	352	514
122	355	511
123	358	509
124	361	505
125	364	502
126	367	500
127	369	496
128	372	493
129	375	491
130	378	488
131	381	485
132	384	482
133	386	479
134	389	476
135	392	473
136	395	470
137	397	467
138	400	464
139	403	460
140	406	457
141	408	454
142	411	451
143	414	448
144	417	446
145	420	443
146	422	440
147	425	437
148	428	434
149	431	431
150	434	428
151	437	425
152	439	422
153	442	419
154	445	416
155	448	413
156	451	411
157	454	408
158	456	405
159	459	402
160	462	399
161	465	396
162	467	393
163	470	390
164	473	387
165	476	384
166	479	381
167	482	378
168	484	375
169	487	372
170	490	370
171	493	367
172	495	364
173	498	361
174	501	358
175	504	355
176	507	352
177	510	349
178	512	346
179	515	343
180	518	340
181	521	337
182	523	334
183	526	331
184	529	329
185	531	326
186	534	323
187	537	320
188	540	317
189	543	314
190	546	311
191	549	308
192	551	305
193	554	302
194	557	300
195	560	297
196	563	294
197	565	291
198	568	288
199	571	285
200	574	282
201	577	280
202	580	277
203	582	274
204	585	271
205	590	269
206	593	266
207	596	263
208	599	260
209	602	258
210	604	255
211	607	252
212	610	249
213	613	246
214	615	243
215	619	240
216	621	237
217	624	235
218	627	232
219	630	229
220	633	226
221	635	223
222	638	220
223	641	217
224	644	214
225	647	211
226	650	209
227	653	206
228	656	203
229	659	200
230	661	197
231	664	194
232	667	191
233	670	189
234	673	186
235	675	183
236	678	180
237	681	177
238	684	174
239	687	171
240	690	168
241	692	166
242	695	163
243	698	160
244	701	157
245	704	154
246	707	151
247	710	148
248	712	146
249	715	143
250	718	140
251	722	137
252	725	134
253	728	131
254	730	128
255	733	126
256	736	123
257	739	120
258	742	117
259	745	114
260	748	111
261	751	108
262	753	106
263	756	103
264	759	100
265	762	97
266	765	94
267	768	91
268	771	88
269	773	85
270	776	83
271	779	80
272	782	77
273	784	74
274	787	71
275	790	68
276	793	65
277	796	62
278	799	60
279	802	57
280	805	54
281	808	51
282	811	48
283	813	45
284	816	42
285	820	40
286	823	37
287	825	34
288	828	31
289	831	28
290	834	25
291	836	22
292	839	20
293	842	17
294	845	14
295	848	11
296	850	8
297	853	5
298	856	2
299	859	0
